Image_ID,Label
nRhHxqLhDlJsiXc,0.030031428
gbSntVovxgHQrmO,0.046119194
nqOobGmvgEOiPms,0.006375899
oIkPTooLcIbZKlF,0.9778146
eSKxsTTJDQzkjgD,0.1551839
fGOKonqqErFfiuK,0.9952933
UZPfNzWrCgFaaNz,0.022083452
kvesbcrtTOohiLT,0.039986387
cdEZEDZaveknkKa,0.020359317
GaSSOeqyIktsAmW,0.016126659
HPeQFgWaAXYUudP,0.044471495
QCiNkpJJqhUrhJw,0.011432315
ZghFqBtZjgFNhEd,0.06371639
IypiZpxWuQzqFtX,0.011853713
MpjOfMFyHcLtxEe,0.005207937
jtyOoBrAZpMYhPd,0.08046434
xKSvNuUFXtfsxcL,0.6299057
PxzQoNBqWwxhxHU,0.018205687
eBIGOMITtVDxgco,0.9556164
YGldCVpEhmDhCfB,0.58471626
YsIrfIbUTFAVLuA,0.019819716
BADSMkRmwapihnH,0.105542965
zRjjLRTcHldvsDO,0.014506204
uxiNbcCqYnHBdoT,0.038922247
MEPpiRYJgJLRYpW,0.020317717
YIUlgjNqemMwGtW,0.14384891
jBduUjHTqYJvtVv,0.43089792
yXCylbJUfTvbPcj,0.9348257
OcTWRvWjeDQRbVu,0.4445772
UIRJNpxPYfnOkVk,0.038084824
liaachxlQBtQtrt,0.05003039
FRoaAYgXCZAbqhT,0.7364542
XpVRWdOwHqgrAwd,0.9733325
jesIJJxSBMDKKkU,0.6882697
mQTgbtIqRFbiHKR,0.9903985
kYCaCaWHAwiixcL,0.1794684
dRjdzOaYOPfIXqT,0.025719084
kqiEGxhjuxITUrt,0.003347207
MGIEIPuEyTyUKoG,0.9941645
KChuIIZYEbXokqa,0.24942786
nOXmmOnZRUrsMsN,0.010273736
blahbLZUXmUQjfs,0.032418784
rgLzgwLcEsqQoFB,0.8381975
eIVcQkttSPownJW,0.19485067
ZSfWLxjUSwJFMHj,0.0072371373
oBzJltkaseFBkGv,0.934483
pNtLdgurKfkyZGk,0.22259015
DvwHNDZgHvhExzq,0.17558397
VVEizBVchRknozY,0.89930826
SwtfDkGcdFdwKhn,0.024553962
SzRvJnmKavZsRDr,0.7488264
ntRzuMHumxJhCbk,0.02451657
NVnfyexBrFknKnQ,0.0056531443
VEkCOPvKkAuXpmm,0.63529176
DRCxXJxxcewFNiy,0.76389295
hbpVKqpWQHCqWCV,0.15786578
MNuHMWYdgfOZhTk,0.0046197744
RtMQAXGzjCOsAsl,0.17813653
VlSBtCMhjvudWvL,0.02941584
wspbQyiHSHvjuPq,0.85595113
UiyOTzcWAlZwtwb,0.053604
yuCrUdeBQEglGyM,0.015696252
IfFFTqrtbBBkAtf,0.9277534
VPCrkGLywRqsZQE,0.02546445
QDirabKPmUVazFh,0.011052307
VAdMyfpEssvJSxJ,0.5371977
yJbdMABCMoLmxcI,0.08387102
eXSnwvQRpcKcQSq,0.009972995
wIHAcpLznCzlNRq,0.22836384
YEewfeCAcfLJxVB,0.4270285
IOnpgdLVOPLMvja,0.20302197
xrnISxmaDgyoNDg,0.06238786
DUiDHmwpnawEJac,0.1774433
SWthuAWHktIDZzR,0.87899685
GlvTePeJYywzFob,0.27169392
zdWBMXILWOSUdNR,0.41789088
WosNPjFhdvAwrqP,0.009270496
KEQVyOjYBjDhwna,0.024043374
EIIhzgfBIPhKJJs,0.9955401
GimXkKSJQXtPidy,0.0050919466
EqoddbdEWkfFJWe,0.01616705
aBJfiAhyCGdJcdd,0.004232269
aWcEuhNurwitUkM,0.047665857
gBpcrdEZwAOrGzm,0.0066706655
UJMiOnCbGTyyFSh,0.01826828
oZxooqxYkEhrrvv,0.14765629
nIpAESrtAnvZgAF,0.97693455
beEztzrByabrcHP,0.94186175
UDNtJpAHrVbImZN,0.0027912266
MuCWFwiyleFamej,0.3433303
PpjNUqQmXbJXeZn,0.9807247
gqipKOPhkKxPgXA,0.031439066
iOPsTjkwXHGqMIG,0.9289248
nOvXqhAlMQPCaYM,0.02278079
FlwSRiXGcKMpjsp,0.11237652
BeAVnZczJKnLHkp,0.075066626
rKWiEbiamZUIMFX,0.0059500197
fwhETKOArupQijQ,0.23244451
tufxAMWbhcyoabs,0.96316504
aljEXHqGarOTjtT,0.7875734
RmDHwLtXbDUTqBP,0.049248863
uUWPlqKVkFUXjwR,0.013654093
utfRbnfKwLvPajl,0.015666863
aYUNBkPUOeVojJr,0.013761916
uYefLcooIuBNXkT,0.056683
ADTbLwWfdRwReul,0.024466945
vrKVYZBacGhnoBl,0.014540662
bbsKBYZEmVAgjsq,0.029354602
scPtfWLPIvTuzyc,0.0085028205
EMgYfHWScUoxKPz,0.9886516
yzHXAwOUNQbdvdA,0.9323423
iugMYhGLSrZPisK,0.018199556
bpKOXzguXWZGKns,0.03719556
YwsctieTDJSewUc,0.9862461
gnlrOlFiPjuQcIB,0.97428006
EgogsvxrMBSaqcl,0.054376557
YNSoezaCiKacRUZ,0.029502083
hsRdEbTCndPeVtV,0.024184976
ujIopmCTHooHzGQ,0.008427948
tpPtjwlcaRExHZa,0.02242569
YuXHYzHerdifpDF,0.8863649
