Image_ID,Label
nRhHxqLhDlJsiXc,0.0054441676
gbSntVovxgHQrmO,0.067565
nqOobGmvgEOiPms,0.00028674825
oIkPTooLcIbZKlF,0.9901001
eSKxsTTJDQzkjgD,0.07597483
fGOKonqqErFfiuK,0.999783
UZPfNzWrCgFaaNz,0.069773056
kvesbcrtTOohiLT,0.25232616
cdEZEDZaveknkKa,0.0013792213
GaSSOeqyIktsAmW,0.018348446
HPeQFgWaAXYUudP,0.13187219
QCiNkpJJqhUrhJw,0.0026687966
ZghFqBtZjgFNhEd,0.13451278
IypiZpxWuQzqFtX,0.00921299
MpjOfMFyHcLtxEe,0.014016958
jtyOoBrAZpMYhPd,0.2792623
xKSvNuUFXtfsxcL,0.746539
PxzQoNBqWwxhxHU,0.00390981
eBIGOMITtVDxgco,0.97628605
YGldCVpEhmDhCfB,0.8559687
YsIrfIbUTFAVLuA,0.19713458
BADSMkRmwapihnH,0.26178268
zRjjLRTcHldvsDO,0.0031843071
uxiNbcCqYnHBdoT,0.001704389
MEPpiRYJgJLRYpW,0.12275395
YIUlgjNqemMwGtW,0.3671349
jBduUjHTqYJvtVv,0.8908938
yXCylbJUfTvbPcj,0.95997375
OcTWRvWjeDQRbVu,0.740493
UIRJNpxPYfnOkVk,0.009298642
liaachxlQBtQtrt,0.022336071
FRoaAYgXCZAbqhT,0.252399
XpVRWdOwHqgrAwd,0.99875355
jesIJJxSBMDKKkU,0.9889937
mQTgbtIqRFbiHKR,0.99924064
kYCaCaWHAwiixcL,0.45264474
dRjdzOaYOPfIXqT,0.0027036553
kqiEGxhjuxITUrt,2.2971562e-05
MGIEIPuEyTyUKoG,0.9986198
KChuIIZYEbXokqa,0.13542654
nOXmmOnZRUrsMsN,0.022248797
blahbLZUXmUQjfs,0.012021614
rgLzgwLcEsqQoFB,0.9725654
eIVcQkttSPownJW,0.7715795
ZSfWLxjUSwJFMHj,0.0005016367
oBzJltkaseFBkGv,0.94982946
pNtLdgurKfkyZGk,0.69175535
DvwHNDZgHvhExzq,0.110836275
VVEizBVchRknozY,0.97114354
SwtfDkGcdFdwKhn,0.030047448
SzRvJnmKavZsRDr,0.95172536
ntRzuMHumxJhCbk,0.04546462
NVnfyexBrFknKnQ,0.00054276123
VEkCOPvKkAuXpmm,0.951546
DRCxXJxxcewFNiy,0.8259741
hbpVKqpWQHCqWCV,0.6367887
MNuHMWYdgfOZhTk,0.0009194043
RtMQAXGzjCOsAsl,0.12212978
VlSBtCMhjvudWvL,0.0061677787
wspbQyiHSHvjuPq,0.76534945
UiyOTzcWAlZwtwb,0.005625699
yuCrUdeBQEglGyM,0.011233253
IfFFTqrtbBBkAtf,0.99814343
VPCrkGLywRqsZQE,0.0012558235
QDirabKPmUVazFh,0.043606874
VAdMyfpEssvJSxJ,0.62732774
yJbdMABCMoLmxcI,0.011451549
eXSnwvQRpcKcQSq,0.0028323787
wIHAcpLznCzlNRq,0.17448424
YEewfeCAcfLJxVB,0.8726155
IOnpgdLVOPLMvja,0.60547894
xrnISxmaDgyoNDg,0.12656106
DUiDHmwpnawEJac,0.1615132
SWthuAWHktIDZzR,0.93578
GlvTePeJYywzFob,0.28794762
zdWBMXILWOSUdNR,0.31119522
WosNPjFhdvAwrqP,0.024476057
KEQVyOjYBjDhwna,0.05449092
EIIhzgfBIPhKJJs,0.9999107
GimXkKSJQXtPidy,0.009639641
EqoddbdEWkfFJWe,0.07675258
aBJfiAhyCGdJcdd,0.005541528
aWcEuhNurwitUkM,0.20975319
gBpcrdEZwAOrGzm,0.002268428
UJMiOnCbGTyyFSh,0.0011852437
oZxooqxYkEhrrvv,0.51722187
nIpAESrtAnvZgAF,0.9992749
